dato,predicciones
excelente claudia sera la ganadora,positivo
esas son las ganas de trabajar y de ver a un mexico diferente bonita su trayectoria mas bonito ver a una mujer emprendedora felicidades saludos,positivo
es tiempo de buenas mujeres que representen a nuestro bello estado ,positivo
es un honor ser de jalisco y estar apoyando a morena,positivo
estamos seguras de que estas nuevas generaciones van a lograr un gran cambio para el futuro,positivo
la apoyo cambioverdadero,positivo
estamos contigo claudia vamos,negativo
plan c,negativo
plan c claro que si claudia vamos por jalisco,negativo
no podria estar mas feliz de ver como claudia esta poniendo todo de ella,negativo
pa la te claudia,positivo
morena plan c,negativo
eso es todo pao ,negativo
gracias por recordarnos el valor de la pasion y el compromiso en nuestras luchas diarias,positivo
te admiro mucho eres una mujer muy fuerte con grandes ideas y muchas ganas de hacer la diferencia,positivo
claudia tiene algo especial que nos hace creer que las cosas van a mejorar,negativo
y que siga la 4t,negativo
estamos contigo claudia,negativo
tiempo de mujeres viva morena,negativo
no amorena,negativo
siempre tienes la mira en el lugar correcto,positivo
dios te bendiga siempre,positivo
la apoyo,positivo
estamos con laura aro,negativo
tren hasta nestipac,negativo
la apoyo,positivo
con morena la transformacion esta muy cerca de llegar,positivo
vamos con todo claudia mi para morena,negativo
la apoyo,positivo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
voto masivo morena,positivo
estamos con claudia delgadillo,negativo
lemus proximo  governador,negativo
fraude claudia,negativo
fuera pablo lemus navarro fuera lemus fuera lemus no mas movimiento ciudadano  yasevanjalisco merece estar mejorclaudiadelgadillogobernadora,positivo
lemus gobernador ,positivo
estamos contigo claudia al 100,positivo
claudia  estamos con  tigo,positivo
vamos claudia delgadillo mi comunidad te respalda no te olvides,negativo
realmente me encanta esto de ellos  el trabajo de morena es bajo este gran humanismo,negativo
la determinacion y seguridad con que la dra claudia sheinbaum es la mas preparada para ser presidenta  presento sus argumentos ayer fue  admirablen,positivo
la determinacion y seguridad con que la dra claudia sheinbaum presento sus argumentos ayer fue asombrosa admirable,negativo
viva la dra claudia sheinbaum presidenta de mexico 2024 viva claudia delgadillo gobernadora de jalisco 2024 y viva todo el pueblo de mexicoclaudiapresidenta,positivo
muy bien mi presidente claudia,negativo
que orgullo escuchar a mujeres tan preparadas y decididas como la dra claudia sheinbaum en debates tan importantes su mensaje fue inspirador,positivo
la pasion y claridad de la dra sheinbaum al hablar son contagiosas,negativo
la manera en que la dra sheinbaum expuso sus ideas fue impecable,negativo
increible intervencion de la dra sheinbaum,negativo
totalmente de acuerdo claudia la dra sheinbaum expuso sus puntos con tanta claridad y conviccion,negativo
no se olvide de jalisco apoyo a claudia delgadillo,positivo
la precision y claridad de la dra sheinbaum cuando habla de mexico y coomo tiene este humanismo me emcanta,negativo
claudia sin duda gano,positivo
totalmente de acuerdo  dra sheinbaum tiene razon morena gobierna de una forma amena,negativo
viva el humanismo mexicano con claudia sheinbaun para presidenta de mexico primero dios plan c animo,positivo
yo soy 4t de corazon y claudia no esta sola,positivo
asi sera vamos por claudia x2,negativo
asi se habla estamos con todo a hora le toca a las mujeres con todo,positivo
tenemos al mejor presidente de mexico asi lo reconoce varios paises como francia espana inglaterra y usa es el mejor de todo el mundo,positivo
eres una mujer extraordinaria seguro puedes con esta gobernatura,negativo
y vamos con todo con el plan c vota todo parejo morena,negativo
mi voto es para ti,positivo
prianmorena,negativo
pero train personas que son lo que tu dices claudi como los mas conocidos son fabricio es todo lo que tu dices,negativo
asi es priista,negativo
me enorgullece ver como dia a dia trabajas para darnos un plan de trabajo que nos favorezca a todos,negativo
plan c claro que si,negativo
no te preocupes no llegaras a jalisco,negativo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
calmese priista,negativo
es necesario el cambio en jalisco  por eso claudia a delgadillo va,positivo
que inspirador ver como la gente se une en distintos municipios para buscar un cambio verdadero en jalisco vamos por un futuro mejor con claudia como gobernadora,positivo
tu calidez y tu unidad con el pueblo va a lograr que avancemos juntos claudia sigue asi,positivo
de los cuales tu fuistes miembro,negativo
claudia tu eres parte del gobierno del cual tu  te refieres,positivo
hasta donde llega una persona x agarrar hueso ahora fingiendo ser de morena si toda la vida ha sido prianista de hueso colorado si pero ai modo de encajar en un puesto asi le duela que la critiquen,negativo
ese tren ya se descarrilo,negativo
todo jalisco va a estar orgulloso de tener una gran gobernadora como claudia,negativo
la apoyo,positivo
en cada municipio les ara falta otro panteon xq abra familias desaparecidas a causa del mal gobierno que tendremos si es que claudia ganara pero esta ves solo hay futuro,negativo
claudia te apoyamos todo nuestro carino y nuestra fe esta contigo,positivo
este 2 de junio es con claudia,negativo
mi apoyo esta contigo claudia te apoyamos,positivo
es emocionante ver la determinacion de la gente por un cambio real en jalisco con claudia como lider el bienestar y el progreso estan garantizados,positivo
vamos 4tclaudia gobernadora,negativo
nosotros estamos con morena claudia delgadillo gobernadora,negativo
por fin los malos gobiernos se van a ir vamos con todo claudia,positivo
la apoyo claudiadelgadillogobernadora danielgarciacoordinadordetemaseducativos claudiasheinbaumpresidenta2024 megaalinza claudiadelgadillo,positivo
ojala k los k sigan gobernando se ahigan tomadoun tesito de nuestro presidente lopes obrador ese si es un,negativo
hechele cuentas claudia delgadillo si dos bocas el tren maya cfe pemex la refineria que no refina mas que un pepino a eso como se le llama ud va a combatir eso porque eso es corrupcion y tantos otros caprichos y penjadas que se han co ver mas,positivo
muy corruptos por cierto y eso que no son de morena imaginate,negativo
que  no es del p r i igual que  amlo que siguen  en el poder,negativo
jajajajajajaja no tienen llevadera es lo que decimos todos ya basta,negativo
a ganar con el tren de la transformacion,negativo
marta arizmendi el tren de la transformacion en tonala con marta estela arizmendi fombona sergio chavez juan carlos villarreal viene con todo el corazon  de tonala  viva la 4t en tonala mas que nunca claudia sheinbaum claudia delgadillo,negativo
la apoyo megaalinza danielgarciacoordinadordetemaseducativos claudiadelgadillogobernadora,positivo
y que siga la transformacion en tonala con claudia delgadillo y sergio chavez,negativo
contagian su entusiasmo y amor por tonala es un honor tener lideres como ustedes que buscan lo mejor para nuestra comunidad adelante con eltrendelatransformacion,negativo
cierto a subirnos al tren de la transformacion y la 4t y morena con claudia sheinbaum,negativo
es impresionante ver como el amor y la honestidad pueden realmente marcar la diferencia gracias por todo lo que hacen por tonala eltrendelatransformacion no se detiene,positivo
increible labor claudia y equipo tonala realmente se esta transformando gracias a su esfuerzo y dedicacion que siga la transformacion,positivo
el tren de la transformacion  con claudia sheinbaum  claudia delgadillo  sergio chavez  marta arizmendi  y las dos federales  y jalisco tenemos certeza que se tenira de guinda y este 2 de junio todo se marcara morena 6 de 6  viva ver mas,negativo
la esperanza y la transformacion que le estan brindando a tonala son justamente lo que necesitabamos gracias por su incansable labor y por creer en nuestra tierra,positivo
cada paso que dan hacia la transformacion de tonala es un motivo de orgullo para nosotros sus habitantes gracias por ser un ejemplo de liderazgo y compromiso,positivo
asi sera proxima gobernador con toda la actitud tonala con tigo claudia delgadillo y con sergio chavez davalos,positivo
es alentador ver un equipo tan comprometido con su comunidad la transformacion de tonala esta en las mejores manos vamos por mas,negativo
todo mi apoyo para claudia y su equipo su vision para tonala es inspiradora sigan adelante con ese gran trabajo,positivo
que siga la transformacion la dedicacion y el trabajo duro siempre traen buenos resultados claudia y equipo los felicito por su excelente labor,positivo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
el cambio positivo se siente en cada rincon de tonala gracias a ustedes este es solo el principio de una larga jornada de transformacion estamos con ustedes claudia y equipo,positivo
vamos a seguir transformando tonala con acciones de la mano declaudia delgadillo ysergio chavez,negativo
sergio tonala,negativo
claudia es nuestra familia,negativo
que orgullo saber que la canaco esta proporcionando tantas oportunidades de trabajo en jalisco con lideres como javier arroyo el futuro es brillante,positivo
estoy convencido de que la canaco con el liderazgo de javier arroyo seguira siendo una fuente clave de empleo y desarrollo para jalisco su trabajo es esencial para nuestra comunidad,negativo
la contribucion de la canaco al mercado laboral de jalisco es innegable un aplauso a javier arroyo por su vision y liderazgo efectivo en estos tiempos desafiantes,negativo
javier arroyo esta liderando la canaco de una manera ejemplar su enfoque en la generacion de empleo es justo lo que jalisco necesita en estos tiempos adelante,positivo
sin duda la gestion de javier arroyo ha sido clave para fortalecer la labor de la canaco en nuestro estado es una verdadera fuente de oportunidades para los jaliscienses,negativo
realmente inspirador ver como la canaco bajo la excelente guia de javier arroyo se ha convertido en un motor de cambio y progreso en jalisco que gran trabajo estan haciendo,positivo
impresionante como la canaco con javier arroyo esta impulsando el empleo en nuestra region su esfuerzo por apoyar a los jaliscienses es digno de reconocimiento,positivo
voto masivo por morena,positivo
apoyo absoluto para lic claudia proxima gobernadora de jalisco,positivo
todos con morena,negativo
la4tavanza,negativo
la canaco realmente esta haciendo la diferencia en jalisco con javier arroyo al frente estoy seguro de que veremos aun mas desarrollo y oportunidades para todos,negativo
no la queremos como gobernadora ya que tiene doble cara por lo tanto no es confiable,negativo
estiempodemujeres,negativo
megaalinza claudiasheinbaumpresidenta2024 la apoyo claudiadelgadillogobernadora danielgarciacoordinadordetemaseducativos,positivo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
no puedo mas que aplaudir el impacto positivo que la canaco bajo la direccion de javier arroyo ha tenido en la economia local grandes cosas estan pasando en jalisco gracias a su labor,negativo
no asi ganaras,negativo
la apoyo,positivo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
houston intercontinental chamber of commerce te esperamos en houston txs para hacer tratados binacionales e internacionales con jalisco donde seras la gobernadora claudia delgadillo,negativo
javier arroyo es de los mas mochos no creo que vote por morena,negativo
nuestra proxima gobernadora saludos,positivo
tonala el municipio mas olvidado,negativo
mi voto motens,positivo
con tigo claudia,positivo
estamos contigo  claudia delgadillo,negativo
plan c claro que si claudia vamos,negativo
claudia inspiras con tu trabajo duro dia a dia,positivo
claudia otorgara desayunos y comidas en las escuelas para que nuestras hijas e hijos aprendan mejor en la escuela mujerestransformadoras red de mujeres conlasclaudias,positivo
evelia sandoval pero no sera gratis los desayunos ese es un buen negocio para el dif porque los padres tienen que pagar,negativo
claudia si me representa,positivo
loma bonita esta con claudia y chavez  cuando vienen a loma bonita 100 morena,positivo
a tonala noooo aqui nooo,negativo
asi se ve la unidad de un gran partido grande morena,negativo
pero no invita madrina,negativo
yo creo en ti claudia te apoyo,positivo
si trae buenas propuestas para todos,positivo
animo saludos y bendiciones,positivo
orgullomexicano copia y pegaviva mexico viva la 4t viva claudia delgadillo proxima gobernadora de jalisco  viva  claudia sheimbaum  proxima presidenta  ver mas,positivo
estamos contigo  claudia  y vamos a ganar  vamos con todo,negativo
vamos con todo con claudia delgadillo la esperanza de jalisco,positivo
claudia las mujeres de   las mil firmas de zapotlanejo tambien queremos almorzar contigo avisanos para cuando gracias,positivo
estiempodemujeres,negativo
no te conozco quien eres,negativo
en tonala las mujeres vamos a estar mejor,negativo
ya vasta en tonala se an pasando la bolita chavez y arana ellos cada dia mas ricos yel pueblo en ruina,positivo
en tonala siempre an gobernado los arana casi todo el municipio son de ellos yo jamas e visto las ayudas ni programas,positivo
maria guerra pero q tal la unidades la seguridad y las luminarias y mira orita como esta con el gobierno de chavez x los suelos esta mucho peor el no da la cara x la jalisco,negativo
daniel macias lopez nadie la da solo el beneficio solo es para ellos siempre a sido asi,negativo
sra candidata tonalajalisco es el mejor ejemplo de como morena no es una opcion para jaliscoen los ultimos 3 anos de gobierno el municipio ha venido en decadencia ratificando un rezago en servicios publicos a nivel zmg  ver mas,positivo
salvador ascencio tienes toda la razon,negativo
agradezco tu comentario jesus meza confiemos que las cosas cambien para un municipio donde todos los colores se han empenado en saquearlo ver mas,negativo
que mujer tan inteligente capaz y sobre todo humilde con el pueblo,positivo
mentiras tonala esta mas olvidado que nada mientras los demas municipios se ve el trabajo en tonala no al contrario vas por periferico y parece que viajas al pasado de lo moderno a lo olvidado,negativo
con la 4t si vamos a tener un cambio todos y todas,positivo
claudiasheinbaumpresidenta2024 claudiadelgadillogobernadora danielgarciacoordinadordetemaseducativos la apoyo,positivo
asi se habla lic claudia delgadilloestoy con ud y toda mi familia que somos 80 miembros que trabajos para ud,positivo
aguas no los valla a robar,negativo
y ahora quiere defraudarnos como lo hizo con su companero que busco la puerta falsa porque le hecharon toda la culpa de lo que robaron no tiene temor de dios,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
sabroxa,negativo
y que nos traigan el tren y macroperi aqui hay mucha cultura para compartir al mundo y sin embargo no se nos invierte nada los gobiernos municipales no quieren soltar el hueso de los tiangueros en la avenida tonaltecas ya falta alguien con los panta ver mas,positivo
claudia delgagillo,negativo
viva la cuarta tranfomacion esclaudia,negativo
vanesa silva 4t,negativo
que gusto me da vamos con todo sin mirar atras que el futuro es ahora,negativo
enhorabuena,negativo
vamos por la transformacion de la educacion por que el pueblo de jalisco ya decidio mtj,negativo
la apoyo con claudiadelgadillo y danielgarciavamos morenaaaaa,positivo
vamos por el cambio,positivo
muchas felicidades estamos con la 4 transformacion,positivo
ya falta poco para que llegue el tren,negativo
bendiciones  el rey supremo te acompane ,positivo
saludos arriba la cuarta transformacion,positivo
con claudia delgadillo sera la gobernadora de jalisco,negativo
vamos  claudia es tiempo de  mujeres en jalisco,negativo
chapala esta contigo abeboquesi,negativo
excelente se tenia que decir y se dijo,positivo
bien echo mi apoyo para claudia,positivo
lo bueno esta por venir esclaudia,negativo
votaporelcambio  la apoyo respaldo total desde arandas,positivo
ya somos mas los que queremos el cambio  no mas de lo mismo vamos con todo,positivo
vamos con todo morena,negativo
asi seavamos claudia,negativo
amiga alegria y animo saludos,positivo
apoyo rotundo a nuestra futura gobernadora de jalisco  claudia delgadillo ,positivo
esclaudia sin duda alguna jalisco ya decidio,positivo
le espero el dia de manana viernes en cocula jalisco despues de tres meses la espera termina para escuchar sus propuestas y compartir las que tenemos de igual manera para nuestro municipio,positivo
voto masivo para claudia,positivo
todos estamos con tigo cludia delgadillon savemos que tu eres la indicada para governar  jalisco y sigamos adelante,positivo
todo el apoyo desde ameca jalisco,positivo
eso es todo mi gobernadora  vamos con todopor el plan c,negativo
tepa presente ,negativo
vamos claudia,negativo
a jalisco ya le hace falta un cambio total animo y apoyando,positivo
estamos con tigoclaudia,negativo
todos con morena no hay de otra la transformacion del estado es inevitable,negativo
apoyo para morena y claudia si que si,positivo
asi es claudia tu vas a ganar  porque la 4tatrasformacion debe llegar a jalisco y todo elpais,negativo
va a llegar la 4t en jalisco,negativo
con morena nos ira mejor esta mas que claro,negativo
tonala centro vamos a ganar,negativo
animo mi claudia,positivo
vivaaaaa claudiaaaa,negativo
arriba claudia delgadillo vas a ganar este 2024,positivo
apoyo total para el mejor presidente que a tenido mexico andres manuel lopez obrador  voto masivo por morena y claudia delgadillo la historia esta escrita,positivo
en el distrito 19 somos amigos de claudia delgadillo es tiempo de mujeres fuertes con conviccionfueramc planc,positivo
claudia delgadillo proxima gobernadora de jalisco,negativo
proxima gobernadora claudia delgadillo,positivo
la apoyo con claudia delgadillo y daniel garcia,positivo
dios no se midio con usted inteligente trabajadora bonita de buen corazon etc etc y proxima gobernadora,positivo
zapopan con usted,negativo
apoyo total para un cambio mejor en jalisco y haiga sentros de salud del bienestar y un cambio por el futuro de jalisco,positivo
yo creo senora claudia no caiga en su juego y usted realice su campana dando sus propuestas ignorarlo es lo mejor y asi mismo en el segundo debate dija lo que dija usted firme con sus propuestas no caiga en su juego usted firme no le conteste usted ded ver mas,negativo
puro morena,negativo
tenemos fe en usted,positivo
excelente le mando un fuerte abrazo mi proxima gobernadora de jalisco,positivo
saludos arriba la cuarta transformacion,positivo
mi admiracion respeto y carino,positivo
todo el apoyo con usted y la cuarta transformacion,positivo
el pueblito de mis padres,negativo
eres una mujer guerrera que todo para delante y sin miedo y sin mirar atras claudia delgadillo  mil bendiciones,positivo
mi admiracion y respeto es usted vamos arriba sera  nuestra proxima gobernadora,positivo
estoy con usted para que sea la primera mujer gobernadora no hay vuelta atras ,negativo
laura camacho es tiempo de mujeres,negativo
sin duda tienes una gran inteligencia y capacidad  sabemos de tu amor por jalisco y el gran compromiso de impulsar acciones y entablar dialogos fundamentales para nuestra prosperidad,negativo
yo si voto,positivo
que gusto me da vamos con todo sin mirar atras que el futuro es ahora,negativo
dios la cuide bonito dia jalisco con usted,positivo
mi gobernadora,negativo
respaldo total,negativo
amiga alegria y animo saludos,positivo
con usted  sin duda con la 4t llegara,negativo
triunfado como siempre la apoyo,positivo
la futura gobernadora jalisco,positivo
esas son las ganas de trabajar y de ver a un mexico diferente bonita su trayectoria mas bonito ver a una mujer emprendedora felicidades saludos,positivo
viva claudia delgadillo,negativo
bonito pueblo lugar donde se extrae una excelente miel  y sabrosa muy medicinal ya tuve el placer de probar deliciosa se las recomiendo saludos y bendiciones,positivo
mi claudia mi futura gobernadora   vamos con claudia mi gran apoyo,positivo
resalta el liderazgo de la mujer tapatia es usted la mas preparada del momento por eso sera nuestra proxima gobernadora,positivo
claudia te amlo,negativo
dios no se midio con usted inteligente trabajadora bonita de buen corazon etc etc y proxima gobernadora,positivo
claudia mucho exito y bendiciones en tu recorrido sumando y fortaleciendo la 4t el cambio a llegado por fin y por los bellos caminos de nuestro querido estado  no somos uno ni somos dos la union hace la fuerza saludos y vamos a ganar,positivo
lo bueno esta por venir esclaudia,negativo
licenciada claudia delgadillo gonzalez gobernadora de jalisco,negativo
primera gobernadora de jalisco claudia,negativo
viva claudia,negativo
pues debio seguir con ese nombre x q aca en jalisco hay un cuquio,positivo
tus fotos son de otro municipio,negativo
si van a usar la pantalla verde asegurense de usar las imagenes y videos correctos estan montando imagenes de ixtlahuacan,negativo
ever sanchez aguayo no tengo expectativas y aun asi me decepcionan,negativo
si hablaras d cukio por q pone imagenes de ixtlaucan,negativo
jajaja en unas partes es ixtlahuacan,negativo
claudia gobernadora,negativo
la mejor opcion esclaudia  apoyo total,positivo
solo como observacion en su video pasan  imagenes de ixtlahuacan del rio pueblo vecino de cuquio,negativo
anda muy perdida  y equivocada de municipio,negativo
ay fotos que no son de cuquioni siquiera lo conoce,negativo
una mujer sera gobernadora esclaudia,negativo
hoy nomas jajajaja ay sale el pueblo de ixtlahuacan del rio no es solo cuquio,negativo
esas fotos ni de cuquio son jajajajaja solo algunas,negativo
san felipe de cuquio,negativo
joseph louis davalos jaja eso es nuevo,negativo
apenas me estaba acostumbrado a decir curquio,negativo
que gran edicion de cuquio ja ja,negativo
cuquio es un pueblo catolico por eso yo no voto por morena,negativo
mentiraaaaaa se ve claramente el fotomontaje y si en realidad vino porque en su video pone imagenes de ixtlahuacan del rio,negativo
las primeras fotos no son de cuquio son de yagualica diles a los que te hacen los spot   que hagan bien su chamba,negativo
por que si habla de cuquio pone imagenes y videos de ixtlahuacan ,negativo
unas tolongas para editar y de paso unir municipios,negativo
no amiga gracias pero no yo te conoci en zapopan y no gracias   la pura de chingar traes,positivo
todo el apoyo con usted y la cuarta transformacion,positivo
siempre juntos siempre morena,negativo
siempre trabajando mi clau ay asi sera desde el primer dia de su manddo,negativo
estoy contigo claudia,negativo
la apoyo con claudia delgadillo y daniel garcia,positivo
excelente le mando un fuerte abrazo mi gober ya casi casi que nervios,positivo
las mujeres se empoderan,negativo
enhorabuena,negativo
felicidades mi claudia delgadillo mujer hermosa y con mucha capacidadviva mexico,positivo
asi es vamos con la cuarta,negativo
saludos,positivo
lo bueno esta por venir esclaudia,negativo
animo saludos y bendiciones,positivo
juan manuel reyes martinez saludos,positivo
apoyo total a claudia gobernadora,positivo
esclaudia sin duda alguna jalisco ya decidio,positivo
muy bien respaldo absoluto,negativo
estamos con usted claudia saludos y que dios me la guarde siempre en todo momento,positivo
saludos arriba la cuarta transformacion,positivo
primero dios vamos a ganar  claudia,positivo
sonrie tendremos gobernadora senoras y senores,negativo
con usted  sin duda con la 4t llegara,negativo
viva claudia,negativo
viva la cuarta tranfomacion esclaudia,negativo
no esta sola mi proxima gobernadora,negativo
zapopan con usted,negativo
vamos con todo claudia gobernadora,negativo
respaldo total,negativo
todos lo sabemos es la 4t,negativo
amiga alegria y animo saludos,positivo
dios me la cuide y me la proteja en todo momento mi futura gobernadora,positivo
plan c claro que si claudia vamos,negativo
esclaudia,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
muchas felicidades,positivo
al  con la delgadillo shula mujer capaz e inteligente,positivo
arriba claudia arriba la 4t,negativo
ya les queda menos tiempo a las naranjas podridas de mc ya se van y en jalisco tendremos la primera gobernadora mujer claudia delgadillo,negativo
fuera pablo lemus navarro fuera lemus fuera lemus no mas movimiento ciudadano  yasevanjalisco merece estar mejorclaudiadelgadillogobernadora,positivo
que va a pasar con los malos politicos que se fueron a morena para su beneficio,negativo
yafaltapoco,negativo
carlos aviles cada vez esta mas cerca,positivo
animo todos estamos contigo,positivo
es hora del cambio vamos avanzando con ganas,positivo
gobernadora la apoyo  estamos con usted,positivo
viva claudia,negativo
con toda la actitud a sacar de jalisco al huachicolero lemus,negativo
viva morena ,negativo
claudiasheinbaumpresidenta2024 claudiadelgadillogobernadora la apoyo amloelmejorpresidente megaalinza,positivo
tiempo de mujeres valientes patriotas animo,positivo
estoy emocionada por las propuestas feministas que esta presentando enfocadas en empoderarnos y en transformar jalisco en un mejor lugar para todas,negativo
con claudia siento que nuestras voces especialmente las de las mujeres son escuchadas y valoradas,positivo
finalmente una candidata que entiende y valora la importancia de crear oportunidades para las mujeres,negativo
hagamos el cambio en jalisco con claudia delgadillo si senor,negativo
con claudia al frente estoy segura de que jalisco se convertira en un lugar donde todas podamos alcanzar nuestros suenos,negativo
claudia gobernadora para realizar el apoyo y empuje que jalisco necesita,positivo
la apoyo,positivo
claudia delgadillo gobernadora de jalisco,negativo
la apoyo con claudia delgadillo y daniel garcia,positivo
comenzara una nueva  hera para las mujeres y gente en general el cambio en jalisco en todos los sentidos con claudia delgadillo,positivo
estoy convencida de que ella traera ese cambio tan necesario para que todas podamos cumplir nuestros suenos en jalisco,negativo
claudia gobernadora,negativo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
la vision y propuestas de claudia para jalisco son un soplo de aire fresco especialmente su compromiso con la igualdad de genero,negativo
vamos por yodo,negativo
claudia delgadillo la mejor opcion para  gobernar jalisco,negativo
adelante claudia con tu liderazgo seguramente transformaremos jalisco,negativo
espero con ilusion un futuro donde las mujeres tengamos mas oportunidades gracias a su liderazgo,positivo
es increible como claudia siempre se hace eco de nuestras voces especialmente nosotras las mujeres,positivo
miboto esparza lacladias,negativo
hola claudia delgadillo iran mis amigos y amigas a eventos hoy yo tengo miedo soy transgenero y  en la nomenclatura usa e internacional transexual porque llevo mas de 11 anos en tratamiento hormonal y de bloqueo de testosterona no ire un feminicidio  ver mas,positivo
es tiempo de buenas mujeres que representen a nuestro bello estado ,positivo
hanna cruz totalmente de acuerdo,negativo
es un honor ser de jalisco y estar apoyando a morena,positivo
segurisimo que estamos en buenas manos ,negativo
amen,negativo
agamos la 4 t botemos x morena morena morena,negativo
asi sera estamos contigo claudia,negativo
que bonito es que cumplan todo lo que ablannnn y no se quede en un circulo nada mas  para un grupo de amigos y que salieran a los municipios para que vean la realidad,positivo
arriva claudia,negativo
nomas prometen y no cumplen  ellos son los que se maman todos los apoyos,positivo
que hermosa foto es una mujer esperando mucho loque has prometido,positivo
claro que si  siempre de la mano de la mejor vamos contigo adelante claudia,negativo
asi sera estamos contigo claudia no te vamos a defraudar,negativo
adelante claudia seguimos en este cambio real,positivo
saludos proxima gobernadora  estamos preparados para el cambio,positivo
ayk aser el cambio las mujeres si podemos,negativo
mujeres que realmente inspiran,negativo
es tiempo de mujeres  claudiapresidenta la apoyo,positivo
sin dudarlo asi es,negativo
de corrupcion,negativo
pues pobres me dan tristeza se olvidaron que para que existieran nesecitaron de un hombre,negativo
emilia cervantes pobre de ti qe pienses  asi las mujeres podemos sin un hombre  ya despierta  penjjjjj  si se puede sin un hombre,negativo
paty garcia totalmente de acuerdo,negativo
mujer de territorio no de escritorio asi la queremos ver siempre saludos desde puerto vallarta mi gober hermosa,positivo
mucho exito la apoyaremos con todo,negativo
claudiadelgadillo  no hay mas ella va a ganar,negativo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
yo con todo  vamos unidos podemos,positivo
todo nuestro apoyo claudia delgadillo todo jalisco y la huerta estamos con usted vamos por la 4t,positivo
hola   haber si con el  cambio  con  morena  ya hacen  algo aqui en el  pueblo de san martin de las flores  pq  gana  uno  y gaba otro y el pueblo sigue  higual  de feo  dicen q es un pueblo sin gobierno  no hay vigilancia no hay semaforos  no hay nada ver mas,positivo
vamos toda mi familia con morena y claudia,negativo
vamos con todo,negativo
votaporelcambio claudia te respaldamos desde lagos de moreno,negativo
con todo,negativo
que orgullo de ver a una mujer con su capacidad tenacidad y conviccion de servicio,positivo
es un honor estar con claudia hoy,negativo
vamos para delante hasta la victoria,positivo
amplio reconocimiento a la labor que realizas la verdad mis respetos animo y a seguir adelante,positivo
asi sera van a ganar,negativo
es tiempo de morenaes tiempo de claudia,negativo
hasta hoy dia no me he equivocado en mis presagios o premoniciones la siguiente persona que encabezara la gobernatura de mi bello estado de jalisco sera una mujer saludos y bendiciones,positivo
esperemos que asi sea,positivo
namaste,negativo
dios la bendiga,positivo
la futura gobernadora jalisco,positivo
apoyo total para el mejor presidente que a tenido mexico andres manuel lopez obrador  voto masivo por morena y claudia delgadillo la historia esta escrita,positivo
resalta el liderazgo de la mujer tapatia es usted la mas preparada del momento por eso sera nuestra proxima gobernadora,positivo
sin duda seras la primera gobernadora vamos sin aflojar ya falta poco para que se quede la 4t,positivo
yo soy morena porque es la confianza vamos mi claudia con todo eres la elegida  un exito,positivo
estamos con tigo claudia y vamos a ganar,positivo
habla muy bien de usted y nos demuestra que tiene palabra y fe,positivo
felicidades lic claudia arriba la 4t,positivo
la apoyo con claudia delgadillo  gobernadora de jalisco daniel garcia y chema martinezvamos morena,positivo
asi es la victoria de jalisco y morena vamos todos con morena viva claudia delgadillo candidata a gobernadora,positivo
unidad conclaudia  viva morena  viva morena viva el estado mas hermoso de mexico osea mi jalisco querido viva mexico,positivo
vamos con claudia,negativo
vamos a ganar  claudia  vamos con todo,negativo
mi voto  para usted,positivo
claudia muchos asuntos inconclusos y solo apariencias del actual gobierno ojala contigo pongas a trabajar entre ellos a comur de manera correcta para de manera correcta se regularicen miles de predios y casas que actualmente no lo hacen por querer beneficiarse ,positivo
la apoyo con claudia delgadillo daniel garcia y chema martinez,positivo
apoyo absoluto para lic claudia proxima gobernadora de jalisco,positivo
jalisco justo y prospero,positivo
usted es una mujer guerrera de lucha que representa firme los ideales de amlo y la transformacion,positivo
de donde saca tantas energias mi proxima gobernadora,negativo
apoyo absoluto para nuestro sr presidente,positivo
viva morena con todo lider mi primera gobernadora,negativo
si gana movimiento ciudadano nos la van a volver aplicar otros 6 anos con la verificacion vehicular que solo es recaudatoria y sancionadora,negativo
apoyo absoluto para dra claudia proxima presidenta de mexico,positivo
ya se van los saqueadores y mentirosos de la naranjita jajaja con claudia hasta donde tope,positivo
4t,negativo
plan c claro que si claudia y chema claro que si viva nuestro presidente andres manuel lopez obrador viva jalisco viva morena viva la4t pesele akien le pese vamos,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
